file,metadata,mean,std,rms,freq_mean,freq_max,wavelet_energy_level_0,wavelet_energy_level_1,wavelet_energy_level_2,wavelet_energy_level_3,wavelet_energy_level_4
fibers_1_20250304132423.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",69801473.28736591,32511465365.1107,32511540296.215828,881411713711.7151,205375841363881.8,6.446081426607173e+25,4.034523148542449e+21,1.340068926215036e+21,1.1347743259039574e+20,4.414504198974746e+18
fibers_1_20250304132444.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",111580736.99841037,32048778915.00701,32048973153.65762,884541494515.8815,205142336296095.88,6.3151892230285e+25,4.06652291267382e+21,1.2925602416119665e+21,1.175623510322591e+20,4.292242244805353e+18
fibers_1_20250304132504.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",109054538.82939383,32254649644.614037,32254834003.436443,876406388331.822,203288676030757.66,6.364027309562812e+25,4.0967364243905393e+21,1.4403654498841988e+21,9.477936228041984e+19,3.7784499179106886e+17
fibers_1_20250304132525.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",93433530.78503282,32084627461.012646,32084763504.45242,865738949773.3903,193588387730229.5,6.272055422369993e+25,3.8008737584475254e+21,1.5177792232741528e+21,8.873850947454981e+19,4.125296905215942e+18
fibers_1_20250304132545.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",51271317.849836834,31989767550.57001,31989808637.869904,882655578248.7958,192192604118839.75,6.257646408006543e+25,4.106112286040253e+21,1.3215670466959715e+21,1.1374966985218127e+20,3.8926283483255306e+18
fibers_1_20250304132606.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",32377865.168170195,32632884157.685665,32632900220.10126,888389279382.2725,208548846553564.12,6.5158189784150975e+25,4.05494028425624e+21,1.3375347687508536e+21,1.1498593926942428e+20,4.3008531274447273e+18
fibers_1_20250304132626.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",23419948.00049706,32387531311.731743,32387539779.402336,889263807689.7454,205368275380500.75,6.3891218471861054e+25,4.0605167268166065e+21,1.303144963937921e+21,1.2157020156848623e+20,4.0990648668032916e+18
fibers_1_20250304132647.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",118586424.35035111,32336308514.555233,32336525958.867897,893526170816.9412,202680836008724.12,6.43089105408091e+25,3.925640338967282e+21,1.2378452623869815e+21,1.1629465917292034e+20,6.643239724269555e+17
fibers_1_20250304132707.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",96870285.28152144,32112438233.981182,32112584342.955444,893127731839.8412,191086364549880.88,6.347333488555815e+25,3.9510503905169957e+21,1.2424470233723487e+21,1.1732752573166431e+20,7.377055751570289e+17
fibers_1_20250304132728.npy,"# Measurement 
date: di  4 mrt 2025 14:21:56 CET
software revision: 327756b

## Why?
Test #16 outer fault

## Settings
Radiaal = +/- 6 Bar
Axiaal = +/- 6 Bar
Speed = 100% = 1120 RPM

### Sensors
Accelerometers:
 - 150-1A
   * 1616 - A3 - 103 - pointing upwards
   * 1615 - A2 - 102 -  pointing in radial direction
   * 1617 - A1 - 101 - pointing in axial direction
- Fibers
  - A: lower connection, input 1
  - B: upper connection, input 2
Temperature
  - connected trough hole upper body (lower hole)
Loadcell
  - Axial and Radial
Environment
  - temperature
  - humidity
  - pressure
  - 

## Bearing (ID from system)
ID: #16 outer fault
type: SKF-6204

## Logbook
di  4 mrt 2025 14:25:40 CET
 -start test motor 100%
 
di  4 mrt 2025 14:56:09 CET
 -einde test motor 0%",150108417.34573162,32787657582.04396,32788001193.33783,888375019153.4668,211053884360771.84,6.5705816153490365e+25,4.117426683519454e+21,1.4395620324201453e+21,9.714198464293827e+19,1.1027477225191928e+18
