receive_ts,packet_ts,seqnr,sync status,TEC status,missed frames,channel,numsens,wavelength 1,wavelength 2,extra1,extra2,extra3,extra4,extra5,extra6
receive_ts, packet_ts, seqnr, sync status, TEC status, missed frames, channel, numsens, wavelength 1, wavelength 2, wavelength 3, wavelength 4, wavelength 5, wavelength 6, wavelength 7, wavelength 8
18Oct2024T114136.409, 447647333, 58941, 1, 1, 0, 1, 2, 1545.014404, 1549.781097, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447648333, 58942, 1, 1, 0, 1, 2, 1545.014404, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447649333, 58943, 1, 1, 0, 1, 2, 1545.015228, 1549.781097, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447650333, 58944, 1, 1, 0, 1, 2, 1545.014954, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447651333, 58945, 1, 1, 0, 1, 2, 1545.016052, 1549.776428, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447652333, 58946, 1, 1, 0, 1, 2, 1545.015228, 1549.781647, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447653333, 58947, 1, 1, 0, 1, 2, 1545.016327, 1549.779449, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447654333, 58948, 1, 1, 0, 1, 2, 1545.014404, 1549.782471, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447655333, 58949, 1, 1, 0, 1, 2, 1545.014130, 1549.781647, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447656333, 58950, 1, 1, 0, 1, 2, 1545.014954, 1549.778351, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447657333, 58951, 1, 1, 0, 1, 2, 1545.014404, 1549.781647, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447658333, 58952, 1, 1, 0, 1, 2, 1545.014404, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447659333, 58953, 1, 1, 0, 1, 2, 1545.015228, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447660333, 58954, 1, 1, 0, 1, 2, 1545.015228, 1549.781647, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447661333, 58955, 1, 1, 0, 1, 2, 1545.015228, 1549.781097, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447662333, 58956, 1, 1, 0, 1, 2, 1545.015503, 1549.778076, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447663333, 58957, 1, 1, 0, 1, 2, 1545.014954, 1549.781097, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447664333, 58958, 1, 1, 0, 1, 2, 1545.014130, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447665333, 58959, 1, 1, 0, 1, 2, 1545.014404, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447666333, 58960, 1, 1, 0, 1, 2, 1545.015228, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447667333, 58961, 1, 1, 0, 1, 2, 1545.015228, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447668333, 58962, 1, 1, 0, 1, 2, 1545.015228, 1549.781921, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447669333, 58963, 1, 1, 0, 1, 2, 1545.014954, 1549.782745, 0, 0, 0, 0, 0, 0
18Oct2024T114136.409, 447670333, 58964, 1, 1, 0, 1, 2, 1545.014954, 1549.781921, 0, 0, 0, 0, 0, 0
