receive_ts,packet_ts,seqnr,sync status,TEC status,missed frames,channel,numsens,wavelength 1,wavelength 2,extra1,extra2,extra3,extra4,extra5,extra6
18Oct2024T100339.955, 3161221001, 15284, 1, 1, 0, 1, 2,1545.585144,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161222001, 15285, 1, 1, 0, 1, 2,1545.585693,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161223001, 15286, 1, 1, 0, 1, 2,1545.586243,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161224001, 15287, 1, 1, 0, 1, 2,1545.585693,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161225001, 15288, 1, 1, 0, 1, 2,1545.586243,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161226001, 15289, 1, 1, 0, 1, 2,1545.586517,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161227001, 15290, 1, 1, 0, 1, 2,1545.585693,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161228001, 15291, 1, 1, 0, 1, 2,1545.584595,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161229001, 15292, 1, 1, 0, 1, 2,1545.584869,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161230001, 15293, 1, 1, 0, 1, 2,1545.584869,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161231001, 15294, 1, 1, 0, 1, 2,1545.585693,1550.324646, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161232001, 15295, 1, 1, 0, 1, 2,1545.586243,1550.324646, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161233001, 15296, 1, 1, 0, 1, 2,1545.586517,1550.323822, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161234001, 15297, 1, 1, 0, 1, 2,1545.584869,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161235001, 15298, 1, 1, 0, 1, 2,1545.585968,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161236001, 15299, 1, 1, 0, 1, 2,1545.585693,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161237001, 15300, 1, 1, 0, 1, 2,1545.586517,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161238001, 15301, 1, 1, 0, 1, 2,1545.586243,1550.326569, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161239001, 15302, 1, 1, 0, 1, 2,1545.586517,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161240001, 15303, 1, 1, 0, 1, 2,1545.586243,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161241001, 15304, 1, 1, 0, 1, 2,1545.587616,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161242001, 15305, 1, 1, 0, 1, 2,1545.58844,1550.326019, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161243001, 15306, 1, 1, 0, 1, 2,1545.587341,1550.324921, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161244001, 15307, 1, 1, 0, 1, 2,1545.58844,1550.324646, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161245001, 15308, 1, 1, 0, 1, 2,1545.587067,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161246001, 15309, 1, 1, 0, 1, 2,1545.587067,1550.324371, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161247001, 15310, 1, 1, 0, 1, 2,1545.586517,1550.32547, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161248001, 15311, 1, 1, 0, 1, 2,1545.585968,1550.326019, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161249001, 15312, 1, 1, 0, 1, 2,1545.587616,1550.325745, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161250001, 15313, 1, 1, 0, 1, 2,1545.587067,1550.326569, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161251001, 15314, 1, 1, 0, 1, 2,1545.585693,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161252001, 15315, 1, 1, 0, 1, 2,1545.586517,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161253001, 15316, 1, 1, 0, 1, 2,1545.586243,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.955, 3161254001, 15317, 1, 1, 0, 1, 2,1545.587067,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161255001, 15318, 1, 1, 0, 1, 2,1545.586243,1550.327118, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161256001, 15319, 1, 1, 0, 1, 2,1545.586517,1550.326569, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161257001, 15320, 1, 1, 0, 1, 2,1545.585968,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161258001, 15321, 1, 1, 0, 1, 2,1545.585693,1550.327118, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161259001, 15322, 1, 1, 0, 1, 2,1545.584869,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161260001, 15323, 1, 1, 0, 1, 2,1545.584869,1550.327118, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161261001, 15324, 1, 1, 0, 1, 2,1545.585968,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161262001, 15325, 1, 1, 0, 1, 2,1545.586517,1550.327118, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161263001, 15326, 1, 1, 0, 1, 2,1545.587067,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161264001, 15327, 1, 1, 0, 1, 2,1545.587341,1550.327667, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161265001, 15328, 1, 1, 0, 1, 2,1545.585693,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.956, 3161266001, 15329, 1, 1, 0, 1, 2,1545.585968,1550.327667, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161267001, 15330, 1, 1, 0, 1, 2,1545.585968,1550.327118, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161268001, 15331, 1, 1, 0, 1, 2,1545.587067,1550.327667, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161269001, 15332, 1, 1, 0, 1, 2,1545.586243,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161270001, 15333, 1, 1, 0, 1, 2,1545.587067,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161271001, 15334, 1, 1, 0, 1, 2,1545.587616,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161272001, 15335, 1, 1, 0, 1, 2,1545.587067,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161273001, 15336, 1, 1, 0, 1, 2,1545.585968,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161274001, 15337, 1, 1, 0, 1, 2,1545.586243,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161275001, 15338, 1, 1, 0, 1, 2,1545.587067,1550.327667, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161276001, 15339, 1, 1, 0, 1, 2,1545.585968,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161277001, 15340, 1, 1, 0, 1, 2,1545.585968,1550.326843, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161278001, 15341, 1, 1, 0, 1, 2,1545.585144,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161279001, 15342, 1, 1, 0, 1, 2,1545.587616,1550.327667, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161280001, 15343, 1, 1, 0, 1, 2,1545.587067,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161281001, 15344, 1, 1, 0, 1, 2,1545.588715,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.957, 3161282001, 15345, 1, 1, 0, 1, 2,1545.587341,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.981, 3161283001, 15346, 1, 1, 0, 1, 2,1545.588715,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.981, 3161284001, 15347, 1, 1, 0, 1, 2,1545.58844,1550.327942, 0, 0, 0, 0, 0, 0
18Oct2024T100339.981, 3161285001, 15348, 1, 1, 0, 1, 2,1545.587616,1550.328766, 0, 0, 0, 0, 0, 0
18Oct2024T100339.981, 3161286001, 15349, 1, 1, 0, 1, 2,1545.587067,1550.328766, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161287001, 15350, 1, 1, 0, 1, 2,1545.587067,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161288001, 15351, 1, 1, 0, 1, 2,1545.587891,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161289001, 15352, 1, 1, 0, 1, 2,1545.588715,1550.328217, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161290001, 15353, 1, 1, 0, 1, 2,1545.588715,1550.329041, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161291001, 15354, 1, 1, 0, 1, 2,1545.588989,1550.328766, 0, 0, 0, 0, 0, 0
18Oct2024T100339.994, 3161292001, 15355, 1, 1, 0, 1, 2,1545.587891,1550.327942, 0, 0, 0, 0, 0, 0
