receive_ts,packet_ts,seqnr,sync status,TEC status,missed frames,channel,numsens,wavelength 1,wavelength 2,extra1,extra2,extra3,extra4,extra5,extra6
Channel 1, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Sensor 5, Sensor 6, Sensor 7, Sensor 8,,,,,,,
receive_ts, packet_ts, seqnr, sync status, TEC status, missed frames, channel, numsens, wavelength 1, wavelength 2, wavelength 3, wavelength 4, wavelength 5, wavelength 6, wavelength 7, wavelength 8
18Oct2024T093715.869, 1577130103, 4058, 1, 1, 0, 1, 2, 1544.938324, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577131103, 4059, 1, 1, 0, 1, 2, 1544.938324, 1549.652283, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577132103, 4060, 1, 1, 0, 1, 2, 1544.938049, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577133103, 4061, 1, 1, 0, 1, 2, 1544.938049, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577134103, 4062, 1, 1, 0, 1, 2, 1544.938049, 1549.655304, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577135103, 4063, 1, 1, 0, 1, 2, 1544.938324, 1549.654755, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577136103, 4064, 1, 1, 0, 1, 2, 1544.937500, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577137103, 4065, 1, 1, 0, 1, 2, 1544.938324, 1549.654755, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577138103, 4066, 1, 1, 0, 1, 2, 1544.938049, 1549.654755, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577139103, 4067, 1, 1, 0, 1, 2, 1544.938599, 1549.651733, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577140103, 4068, 1, 1, 0, 1, 2, 1544.938324, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577141103, 4069, 1, 1, 0, 1, 2, 1544.938599, 1549.653931, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577142103, 4070, 1, 1, 0, 1, 2, 1544.938324, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.869, 1577143103, 4071, 1, 1, 0, 1, 2, 1544.938599, 1549.649536, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577144103, 4072, 1, 1, 0, 1, 2, 1544.937500, 1549.653107, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577145103, 4073, 1, 1, 0, 1, 2, 1544.938324, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577146103, 4074, 1, 1, 0, 1, 2, 1544.938049, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577147103, 4075, 1, 1, 0, 1, 2, 1544.937225, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577148103, 4076, 1, 1, 0, 1, 2, 1544.937225, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577149103, 4077, 1, 1, 0, 1, 2, 1544.937500, 1549.649261, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577150103, 4078, 1, 1, 0, 1, 2, 1544.937500, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577151103, 4079, 1, 1, 0, 1, 2, 1544.937500, 1549.649261, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577152103, 4080, 1, 1, 0, 1, 2, 1544.936401, 1549.652557, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577153103, 4081, 1, 1, 0, 1, 2, 1544.936127, 1549.653656, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577154103, 4082, 1, 1, 0, 1, 2, 1544.936401, 1549.649536, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577155103, 4083, 1, 1, 0, 1, 2, 1544.936127, 1549.653107, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577156103, 4084, 1, 1, 0, 1, 2, 1544.936127, 1549.653656, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577157103, 4085, 1, 1, 0, 1, 2, 1544.936127, 1549.653656, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577158103, 4086, 1, 1, 0, 1, 2, 1544.936127, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577159103, 4087, 1, 1, 0, 1, 2, 1544.936951, 1549.656128, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577160103, 4088, 1, 1, 0, 1, 2, 1544.936127, 1549.655304, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577161103, 4089, 1, 1, 0, 1, 2, 1544.936127, 1549.655304, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577162103, 4090, 1, 1, 0, 1, 2, 1544.936127, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577163103, 4091, 1, 1, 0, 1, 2, 1544.936127, 1549.654480, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577164103, 4092, 1, 1, 0, 1, 2, 1544.936951, 1549.655304, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577165103, 4093, 1, 1, 0, 1, 2, 1544.936401, 1549.654755, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577166103, 4094, 1, 1, 0, 1, 2, 1544.936127, 1549.654755, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577167103, 4095, 1, 1, 0, 1, 2, 1544.937225, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577168103, 4096, 1, 1, 0, 1, 2, 1544.936951, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577169103, 4097, 1, 1, 0, 1, 2, 1544.936951, 1549.655304, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577170103, 4098, 1, 1, 0, 1, 2, 1544.936127, 1549.655579, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577171103, 4099, 1, 1, 0, 1, 2, 1544.937500, 1549.656128, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577172103, 4100, 1, 1, 0, 1, 2, 1544.937500, 1549.653656, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577173103, 4101, 1, 1, 0, 1, 2, 1544.936951, 1549.656677, 0, 0, 0, 0, 0, 0
18Oct2024T093715.870, 1577174103, 4102, 1, 1, 0, 1, 2, 1544.938049, 1549.656128, 0, 0, 0, 0, 0, 0
